headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
"Alabama Rolls Past Cincinnati, 27-6, in College Football Playoff Semifinal",2022-01-01,nyt://article/50aa9e4f-5d58-5577-9492-99f66707b3ce,article,News,Sports,"['Football (College)', 'Cotton Bowl (Football Game)', 'College Football Playoff National Championship']",6,1245,Sports
People Magazine’s Premature Cover Toasts Betty White’s 100th Birthday,2022-01-01,nyt://article/79d60571-4901-5f28-8d52-7b8fe4a9ca92,article,News,Business Day,"['Magazines', 'Birthdays', 'Actors and Actresses', 'Television']",,613,Business
Betty White Recalled as a Trailblazer With a Love for Life,2022-01-01,nyt://article/f01071da-d530-5e95-a0ab-f7ab607e66ab,article,News,Arts,"['Social Media', 'Actors and Actresses', 'Content Type: Personal Profile', 'Celebrities']",,443,Express
Line Just Before a Comma,2022-01-01,nyt://article/85d5e04c-ef86-553e-a0f4-f8ba30345aa3,article,News,Crosswords & Games,['Crossword Puzzles'],,641,Games
A Renewed Georgia Pummels Michigan to Reach National Title Game vs. Alabama,2022-01-01,nyt://article/fc3a1e4f-3fa1-55d6-87f2-f363ccffa94e,article,News,Sports,"['Football (College)', 'College Football Playoff National Championship']",,1015,Sports
"The Rise of Daily Run Streakers. No, Not Those Streakers.",2022-01-01,nyt://article/090e8b56-4a71-5635-9339-5cf7fc8bcc04,article,News,Sports,"['Running', 'Ultramarathon Running', 'audio-neutral-informative', 'audio-neutral-immersive']",6,1192,Sports
College Football Gets Its Inevitable Georgia-Alabama Title Rematch,2022-01-01,nyt://article/6185221b-50b3-50ae-8f00-828f454ad5e0,article,News,Sports,"['Football (College)', 'College Football Playoff National Championship']",23,842,Sports
Eric Adams Takes Office as New York City’s 110th Mayor at a Perilous Moment,2022-01-01,nyt://article/0397e85f-048b-5cce-9b76-a37de54a4f93,article,News,New York,"['Mayors', 'Politics and Government', 'Black People', 'Blacks', 'Inaugurations', 'Coronavirus (2019-nCoV)', 'Content Type: Personal Profile']",1,1777,Metro
Quotation of the Day: Making Sense of Time When a Year Feels Lost,2022-01-01,nyt://article/a4114519-d7e0-5e20-bbd4-a827ebf67678,article,Quote,Today’s Paper,[],3,28,Summary
"Corrections: Jan. 1, 2022",2022-01-01,nyt://article/8abc6368-a64a-5685-866b-8c4e111ea13b,article,Correction,Corrections,[],14,225,Corrections
Spelling Bee Forum,2022-01-01,nyt://article/961badca-728a-5455-89d1-6751f690d3cf,article,News,Crosswords & Games,[],,172,Games
Kim Jong-un’s New Year Resolution: More Food for North Korea,2022-01-01,nyt://article/c570a710-e717-5b7a-ba20-89f6808cc39e,article,News,World,"['Food Insecurity', 'Politics and Government']",6,1105,Foreign
The Work in My Building Is Endless and Invasive. Can I Withhold Rent?,2022-01-01,nyt://article/01c7a2aa-a18c-52ba-bf1c-e07814d5c5cb,article,News,Real Estate,"['Real Estate and Housing (Residential)', 'Landlords', 'Coronavirus Risks and Safety Concerns']",2,466,RealEstate
Here’s What Readers Told Us About Customer Service Nightmares,2022-01-01,nyt://article/d27de1b9-1c05-5af2-984f-2a4d03617894,article,News,Business Day,"['Customer Relations', 'Coronavirus (2019-nCoV)', 'Service Industries']",,690,SundayBusiness
"With Omicron’s Rise, Americans Brace for Returning to School and Work",2022-01-01,nyt://article/105de141-27ef-5580-aa4a-4f0754cbf742,article,News,U.S.,"['Coronavirus Omicron Variant', 'Disease Rates', 'Coronavirus Return to Office', 'Telecommuting', 'Education (K-12)', 'Teachers and School Employees', 'Parenting', 'Colleges and Universities', 'Workplace Hazards and Violations', 'States (US)']",1,1542,National
